,Brand Name,Model Name,Price
0,Samsung,Samsung Galaxy S9+,"Rs.62,499"
1,Samsung,Samsung Galaxy Note 8,"Rs.59,900"
2,Samsung,Samsung Galaxy Note7,"Rs.59,900"
3,Samsung,Samsung Galaxy S9,"Rs.55,399"
4,Samsung,Samsung Galaxy Note Edge,"Rs.49,500"
5,Samsung,Samsung Galaxy S6 Edge+,"Rs.48,500"
6,Samsung,Samsung Galaxy Golden,"Rs.44,581"
7,Samsung,Samsung Galaxy S8+,"Rs.43,990"
8,Samsung,Samsung Galaxy S8,"Rs.37,990"
9,Samsung,Samsung Galaxy Note 5 Dual SIM,"Rs.36,900"
10,Samsung,Samsung Galaxy A8,"Rs.35,500"
11,Samsung,Samsung Galaxy S6 Edge,"Rs.32,990"
12,Samsung,Samsung Galaxy S7 Edge,"Rs.32,900"
13,Samsung,Samsung Galaxy S5 Active,"Rs.31,999"
14,Samsung,Samsung Galaxy Note 4,"Rs.31,000"
15,Samsung,Samsung Galaxy A8+ (2018),"Rs.30,990"
16,Samsung,Samsung Galaxy C5,"Rs.30,900"
17,Samsung,Samsung Galaxy S6,"Rs.29,856"
18,Samsung,Samsung Galaxy C9 Pro,"Rs.29,799"
19,Samsung,Samsung Galaxy C7,"Rs.29,579"
20,Samsung,Samsung Galaxy Beam,"Rs.28,223"
21,Samsung,Samsung Galaxy S7,"Rs.27,500"
22,Samsung,Samsung Galaxy S5 mini,"Rs.26,990"
23,Samsung,Samsung Galaxy S Advance,"Rs.26,900"
24,Samsung,Samsung Galaxy Mega 6.3,"Rs.26,892"
25,Samsung,Samsung Galaxy Note 5,"Rs.23,990"
26,Samsung,Samsung Galaxy A5 (2017),"Rs.23,647"
27,Samsung,Samsung Galaxy Note 3 Neo,"Rs.23,500"
28,LYF,Lyf F1S,"Rs.9,999"
29,LYF,Lyf F1 Plus,"Rs.9,996"
30,LYF,Lyf Flame 2,"Rs.9,950"
31,LYF,Lyf Earth 1,"Rs.9,799"
32,LYF,Lyf Water 6,"Rs.9,398"
33,LYF,Lyf Earth 2,"Rs.8,834"
34,LYF,Lyf F1,"Rs.8,199"
35,LYF,Lyf Water 2,"Rs.7,750"
36,LYF,Lyf Water 3,"Rs.7,499"
37,LYF,Lyf Water 1,"Rs.7,340"
38,LYF,Lyf Wind 2,"Rs.6,999"
39,LYF,Lyf Wind 4,"Rs.6,999"
40,LYF,Lyf Water 7,"Rs.6,980"
41,LYF,Lyf Water 11,"Rs.6,599"
42,LYF,Lyf Water 9,"Rs.6,500"
43,LYF,Lyf Water 10,"Rs.6,500"
44,LYF,Lyf Wind 5,"Rs.6,299"
45,LYF,Lyf Water 7S,"Rs.5,999"
